SYS_NAME,CWXT_DB:184:C:\,CWXT_DB:184:D:\,COLLECTTIME
财务管理系统,34270787.33,80262592.65,2014-10-01
财务管理系统,34328899.02,83200151.65,2014-10-02
财务管理系统,34327553.5,83208320.0,2014-10-03
财务管理系统,34288672.21,83099271.65,2014-10-04
财务管理系统,34190978.41,82765171.65,2014-10-05
财务管理系统,34187614.43,82522895.0,2014-10-06
财务管理系统,34285280.22,82590885.0,2014-10-07
财务管理系统,34290578.41,82368173.3,2014-10-08
财务管理系统,33211870.4,82172263.3,2014-10-09
财务管理系统,33249253.87,81922685.0,2014-10-10
财务管理系统,33253832.53,84844722.95,2014-10-11
财务管理系统,34328058.03,84769868.9,2014-10-12
财务管理系统,34328674.8,84558703.4,2014-10-13
财务管理系统,34234933.61,84207166.8,2014-10-14
财务管理系统,34022726.41,84042911.9,2014-10-15
财务管理系统,35016309.47,84129516.15,2014-10-16
财务管理系统,34981412.82,83877754.85,2014-10-17
财务管理系统,34828871.38,83887520.4,2014-10-18
财务管理系统,34832868.75,83538509.75,2014-10-19
财务管理系统,34843372.75,86483653.0,2014-10-20
财务管理系统,34847749.42,82496743.3,2014-10-21
财务管理系统,34829775.93,82300356.65,2014-10-22
财务管理系统,34824290.49,82130251.65,2014-10-23
财务管理系统,34827149.93,84844587.65,2014-10-24
财务管理系统,34820088.89,84845444.65,2014-10-25
财务管理系统,34776030.47,84684911.05,2014-10-26
财务管理系统,34667722.51,84500606.35,2014-10-27
财务管理系统,35705011.09,84145461.25,2014-10-28
财务管理系统,35594215.37,84172525.1,2014-10-29
财务管理系统,35411287.07,83957818.7,2014-10-30
财务管理系统,35389055.02,83684789.75,2014-10-31
财务管理系统,35385076.36,86485366.95,2014-11-01
财务管理系统,35462038.02,86454023.45,2014-11-02
财务管理系统,35486821.33,86127041.7,2014-11-03
财务管理系统,35471088.77,86161390.4,2014-11-04
财务管理系统,35547564.55,85938933.9,2014-11-05
财务管理系统,35606941.11,85645056.5,2014-11-06
财务管理系统,35546714.13,85272926.05,2014-11-07
财务管理系统,35510966.73,88110097.75,2014-11-08
财务管理系统,35491498.51,88128626.65,2014-11-09
财务管理系统,35601990.55,88075997.75,2014-11-10
财务管理系统,35687972.6,87753526.65,2014-11-11
财务管理系统,35704312.58,87249335.55,2014-11-12
财务管理系统,35704980.73,86986142.2,2014-11-13
财务管理系统,34570385.45,86678240.0,2014-11-14
财务管理系统,34673820.69,89766600.0,2014-11-15
财务管理系统,34793245.31,89377527.25,2014-11-16
